date,nav
,168.0551
,166.3553
2024-12-02,165.3607
2024-09-02,168.0813
2024-08-02,168.6894
2024-07-02,168.7067
2024-06-02,168.0277
2024-05-02,165.8049
2024-02-02,166.8172
2024-01-02,166.5191
,167.0853
,163.8854
,164.243
,163.0642
,162.9044
,161.1305
,162.8323
,162.2609
,162.9031
,164.4321
,165.0183
2024-12-01,164.2106
2024-11-01,163.7165
2024-10-01,162.7562
2024-09-01,162.8311
2024-08-01,162.5916
2024-05-01,163.7499
2024-04-01,162.7609
2024-03-01,162.106
2024-02-01,162.0646
2024-01-01,161.4272
,161.2357
,159.9625
,159.8029
,159.3241
,159.2023
,158.6327
,157.127
,161.0618
,161.4356
,161.5428
,161.0609
,159.9402
2023-12-12,159.4436
2023-11-12,159.7954
2023-08-12,159.5553
2023-07-12,159.9568
2023-06-12,159.4849
2023-05-12,159.5041
2023-04-12,158.8101
2023-01-12,157.4176
,157.4314
,155.7105
,155.6451
,154.683
,154.3926
,154.4341
,154.9701
,153.9873
,153.408
,152.8377
,152.7398
,151.314
2023-10-11,150.5781
2023-09-11,150.3998
2023-08-11,150.5331
2023-07-11,150.0494
2023-06-11,149.592
2023-03-11,148.7205
2023-02-11,147.8192
2023-01-11,147.1546
,147.5626
,147.1974
,147.2793
,145.453
,146.7862
,148.0186
,152.8916
,153.637
,153.6252
,153.4866
,152.9747
,151.9922
2023-12-10,152.0191
2023-11-10,151.7229
2023-10-10,150.8563
2023-09-10,149.6845
2023-06-10,151.72
2023-05-10,151.0584
2023-04-10,150.848
2023-03-10,151.7295
,151.2497
,151.7553
,151.1526
,151.1966
,151.2597
,150.8272
,152.9313
,152.7061
,153.193
,153.1389
,151.9055
2023-12-09,151.6583
2023-11-09,154.9908
2023-08-09,153.8431
2023-07-09,153.151
2023-06-09,151.6147
2023-05-09,151.7655
2023-04-09,151.5748
2023-01-09,150.4126
,150.2306
,149.2884
,148.5692
,148.1074
,147.0885
,147.6233
,147.6666
,147.4207
,145.9692
,145.4976
,145.501
,145.847
,145.3391
2023-11-08,145.5881
2023-10-08,145.4723
2023-09-08,146.3293
2023-08-08,145.5002
2023-07-08,145.7272
2023-04-08,145.7129
2023-03-08,145.0795
2023-02-08,145.4234
2023-01-08,146.7457
,146.1582
,144.5824
,143.8359
,143.6188
,143.1863
,143.1832
,142.8064
,143.0615
,142.4317
,141.8948
,142.205
,141.0983
,140.3448
2023-12-07,140.8036
2023-11-07,139.9054
2023-10-07,139.4743
2023-07-07,139.5112
2023-06-07,139.6278
2023-05-07,138.9579
2023-04-07,138.2876
2023-03-07,138.6742
,138.0883
,137.561
,137.5173
,137.1738
,136.3524
,137.2514
,137.8518
,137.3878
,137.0258
,137.2618
,136.6775
,136.5423
,135.9844
2023-12-06,134.7018
2023-09-06,134.1118
2023-08-06,134.5646
2023-07-06,134.9855
2023-06-06,133.5734
2023-05-06,133.1177
2023-02-06,132.614
2023-01-06,132.3341
,132.2913
,131.9012
,131.7139
