date,nav
2023-02-11,5136.4273
2023-01-11,5135.4541
,5134.2875
,5133.2666
,5130.8988
,5129.78
,5128.7631
,5126.8681
,5124.0558
,5123.2239
,5122.5565
,5121.4613
,5120.5154
,5117.9674
2023-12-10,5117.0745
2023-11-10,5116.1458
2023-10-10,5115.025
2023-09-10,5114.2686
2023-06-10,5111.5197
2023-05-10,5111.21
2023-04-10,5110.153
2023-03-10,5108.6726
,5105.5501
,5104.5685
,5102.1423
,5100.8639
,5100.2951
,5097.3696
,5096.3256
,5095.7244
,5093.8039
,5091.1568
,5090.1453
,5089.1732
2023-12-09,5088.2771
2023-11-09,5087.4868
2023-08-09,5084.7079
2023-07-09,5083.722
2023-06-09,5082.772
2023-05-09,5081.8207
2023-04-09,5080.6577
2023-01-09,5077.8025
,5076.7648
,5075.8053
,5074.6012
,5073.6043
,5070.6754
,5069.6703
,5068.5481
,5067.7783
,5066.7137
,5063.5186
,5062.4447
,5060.4159
2023-11-08,5057.8363
2023-10-08,5057.6916
2023-09-08,5057.0763
2023-08-08,5056.1337
2023-07-08,5055.1632
2023-04-08,5052.3465
2023-03-08,5051.485
2023-02-08,5050.6815
2023-01-08,5049.9681
,5048.9266
,5046.2306
,5045.4077
,5044.5696
,5043.5119
,5042.5025
,5039.6374
,5038.5536
,5037.1063
,5036.279
,5035.2332
,5032.5397
,5031.2973
2023-12-07,5029.9035
2023-11-07,5028.798
2023-10-07,5027.7619
2023-07-07,5025.1711
2023-06-07,5024.0604
2023-05-07,5023.1911
2023-04-07,5022.0079
2023-03-07,5020.3836
,5016.9921
,5014.8176
,5013.5975
,5012.8809
,5010.3598
,5009.8954
,5008.6614
,5007.8745
,5006.9865
,5003.9814
,5002.8186
,5001.8616
,5000.2152
2023-12-06,4998.8233
2023-09-06,4996.2044
2023-08-06,4995.9409
2023-07-06,4995.4622
2023-06-06,4994.3002
2023-05-06,4993.0346
2023-02-06,4990.0511
2023-01-06,4988.8385
,4987.2829
,4986.4929
,4985.5343
,4983.2404
,4982.3941
,4981.7631
,4981.1777
,4981.3721
,4975.8054
,4974.5789
,4973.2457
,4971.8411
,4969.7348
2023-12-05,4966.2931
2023-11-05,4965.4888
2023-10-05,4964.5985
2023-09-05,4963.4563
2023-08-05,4962.7655
2023-04-05,4958.7909
2023-03-05,4957.8892
2023-02-05,4956.5376
,4953.5802
,4952.9107
,4952.2917
,4951.2321
,4950.3
,4947.616
,4946.6385
,4945.6851
,4944.4691
,4942.8765
,4938.9491
2023-12-04,4937.7767
2023-11-04,4935.9458
2023-10-04,4935.0426
2023-06-04,4930.1761
2023-05-04,4926.3066
2023-03-04,4924.5576
,4921.7155
,4915.7024
,4911.9693
,4911.3784
,4909.7777
,4909.366
,4906.6467
,4904.6736
,4900.9665
,4900.3
,4899.9024
,4899.157
,4897.8864
2023-10-03,4892.7144
2023-09-03,4890.7312
2023-08-03,4889.4136
2023-06-03,4887.7219
2023-03-03,4884.9987
2023-02-03,4884.191
2023-01-03,4883.7542
,4883.0447
,4881.9457
,4879.8682
,4879.256
,4878.6066
,4878.2092
,4877.4781
,4875.0045
,4874.1626
,4873.2698
,4872.3521
,4871.84
2023-10-02,4868.889
2023-09-02,4867.6435
2023-08-02,4867.0541
2023-07-02,4866.7645
2023-06-02,4865.8858
2023-03-02,4863.0655
2023-02-02,4862.0712
2023-01-02,4860.9087
,4859.608
,4858.6105
,4856.2499
,4854.3406
,4853.5428
,4852.3769
,4850.3717
,4849.4433
,4848.4779
,4847.748
,4846.8968
,4844.4447
2023-12-01,4843.8117
2023-11-01,4842.8852
2023-10-01,4842.2513
2023-09-01,4841.5665
2023-06-01,4839.1205
2023-05-01,4838.2055
2023-04-01,4837.2825
2023-03-01,4836.6654
2023-02-01,4835.6726
,4832.4416
,4830.6366
,4829.6393
,4828.4262
,4827.4361
,4824.8666
,4823.8607
,4822.8082
,4821.9236
,4821.0899
,4818.3944
,4817.6496
,4816.8856
,4815.7694
2022-12-12,4814.8064
2022-09-12,4812.0976
2022-08-12,4810.9594
2022-07-12,4809.8806
2022-06-12,4809.7359
2022-05-12,4808.5531
2022-02-12,4805.6153
2022-01-12,4804.6714
,4803.702
,4802.6233
,4801.6441
,4798.8306
,4797.8653
,4797.0432
,4796.1731
,4795.592
,4792.9297
,4792.1498
,4790.8597
,4789.6235
,4788.6422
2022-11-11,4785.9519
2022-10-11,4784.6486
2022-09-11,4783.6951
2022-07-11,4782.0135
2022-04-11,4779.3106
2022-03-11,4778.3629
2022-02-11,4777.494
2022-01-11,4776.3935
,4775.3215
,4772.4939
,4771.9116
,4769.6382
,4766.0779
,4765.9275
,4765.3101
,4764.8776
,4763.8856
,4761.2049
,4760.9857
2022-12-10,4760.2893
2022-11-10,4759.9544
2022-10-10,4760.9666
2022-07-10,4759.8123
2022-06-10,4759.7043
2022-04-10,4758.2177
2022-03-10,4756.8968
,4753.1669
,4751.0903
,4748.7921
,4747.9878
,4748.9929
,4748.4249
,4748.3794
,4748.1439
,4748.1787
,4748.6951
,4746.4594
,4746.1608
,4746.0148
,4746.1654
2022-12-09,4745.6667
2022-09-09,4743.7475
2022-08-09,4743.0082
2022-07-09,4742.3355
2022-06-09,4741.5332
2022-05-09,4740.6276
2022-02-09,4738.0271
2022-01-09,4737.0132
,4735.4654
,4734.7974
,4732.6881
,4732.2661
,4731.7676
,4730.9164
,4730.0494
,4727.9443
,4727.0674
,4726.2839
2022-12-08,4722.2678
2022-11-08,4721.6218
2022-10-08,4720.8499
2022-08-08,4719.2694
2022-05-08,4717.2189
2022-04-08,4717.3196
2022-03-08,4716.4678
2022-02-08,4715.8905
2022-01-08,4714.5361
,4711.2872
,4710.3011
,4709.4904
,4709.6138
,4709.8015
,4707.6646
,4707.005
,4707.0615
,4706.7889
,4706.4281
,4704.6836
,4703.9887
,4703.3254
2022-12-07,4702.207
2022-11-07,4701.8292
2022-08-07,4699.9447
2022-07-07,4699.4328
2022-06-07,4698.6958
2022-05-07,4697.1427
2022-04-07,4695.8615
2022-01-07,4693.1419
,4691.8689
,4690.6171
,4690.0126
,4689.5122
,4687.3746
,4686.3543
,4685.4043
,4684.3607
,4683.6357
,4681.5415
,4681.3669
,4681.0599
,4680.7705
,4680.1182
2022-10-06,4678.9235
2022-09-06,4678.2477
2022-08-06,4677.4139
2022-07-06,4674.5003
2022-06-06,4675.7967
2022-03-06,4674.391
2022-02-06,4673.7496
2022-01-06,4673.3433
,4672.3555
,4671.509
,4669.7316
,4669.0501
,4668.4291
,4667.5383
,4666.596
,4664.2514
,4663.7603
,4663.6769
,4663.1568
,4660.4211
2022-12-05,4661.152
2022-11-05,4661.465
2022-10-05,4661.6695
2022-09-05,4661.0231
2022-06-05,4659.6753
2022-05-05,4659.8157
2022-04-05,4663.213
2022-02-05,4670.3438
,4668.6368
,4668.3986
,4667.9813
,4667.5017
,4667.0374
,4665.5094
,4665.1007
,4664.1992
,4663.0264
,4661.7632
,4658.6761
2022-12-04,4659.2025
2022-11-04,4658.4514
2022-08-04,4657.34
2022-07-04,4659.715
2022-06-04,4658.9033
2022-05-04,4657.8426
2022-04-04,4657.4126
,4654.7981
,4653.235
,4652.382
,4651.7928
,4649.9585
,4649.185
,4648.1251
,4647.284
,4646.9229
,4644.4722
,4643.7689
,4642.8394
,4641.6497
2022-11-03,4639.5085
2022-10-03,4638.5529
2022-09-03,4637.9572
2022-08-03,4637.4429
2022-07-03,4637.2965
2022-04-03,4635.9975
2022-03-03,4635.5449
2022-02-03,4636.0196
,4635.194
,4633.8466
,4633.3979
,4632.8729
,4632.2755
,4631.8507
,4630.4697
,4630.1005
