date,nav
2024-04-03,237.4278
2024-01-03,231.8163
,228.3154
,227.1551
,230.4211
,231.8795
,233.061
,232.5025
,229.8352
,232.8586
,233.2058
,231.4292
,230.8369
,226.8667
,224.633
2024-12-02,223.6698
2024-09-02,229.718
2024-08-02,230.7531
2024-07-02,230.5055
2024-06-02,229.7084
2024-05-02,227.471
2024-02-02,224.8078
2024-01-02,221.5425
,222.4922
,220.0328
,221.2243
,216.4988
,214.264
,210.7529
,217.1791
,212.8968
,209.5256
,212.2606
,213.8548
2024-12-01,211.1379
2024-11-01,210.0325
2024-10-01,208.8334
2024-09-01,208.2746
2024-08-01,207.5449
2024-05-01,210.1649
2024-04-01,210.044
2024-03-01,207.2425
2024-02-01,206.992
2024-01-01,205.9027
,204.9528
,204.9905
,201.6236
,201.2701
,200.7116
,200.3601
,195.5966
,202.1036
,202.5117
,201.5599
,200.3266
,198.1083
2023-12-12,197.3596
2023-11-12,199.035
2023-08-12,197.9955
2023-07-12,200.4017
2023-06-12,198.8836
2023-05-12,198.5721
2023-04-12,197.1594
2023-01-12,195.4307
,193.1175
,191.4374
,190.1236
,188.3907
,187.2964
,187.7058
,187.9369
,187.4619
,187.8988
,188.056
,186.2844
,185.9812
2023-10-11,184.5793
2023-09-11,184.0495
2023-08-11,184.4927
2023-07-11,182.9201
2023-06-11,182.0635
2023-03-11,180.4761
2023-02-11,179.9886
2023-01-11,176.6655
,176.4723
,176.3726
,175.7887
,173.6302
,174.6533
,175.6322
,180.2728
,182.8728
,182.6142
,184.7153
,184.1322
,183.7232
2023-12-10,184.6935
2023-11-10,181.7082
2023-10-10,180.4485
2023-09-10,177.6778
2023-06-10,180.1273
2023-05-10,179.3514
2023-04-10,179.6064
2023-03-10,182.3246
,182.3211
,182.1994
,180.7082
,180.2127
,178.4228
,178.7128
,179.8008
,181.3955
,181.8206
,181.7795
,180.7573
2023-12-09,178.5377
2023-11-09,182.7023
2023-08-09,180.5312
2023-07-09,179.0615
2023-06-09,178.4506
