date,nav
2023-06-06,65.2544
2023-05-06,65.1536
2023-02-06,64.8709
2023-01-06,64.62
,64.6705
,64.7799
,64.536
,64.2631
,63.5885
,63.3853
,63.4799
,63.4405
,63.419
,63.3171
,63.3543
,63.5284
,63.6571
2023-12-05,63.281
2023-11-05,63.2204
2023-10-05,63.1904
2023-09-05,62.9979
2023-08-05,63.0419
2023-05-05,62.233
2023-04-05,62.6908
2023-03-05,62.1695
2023-02-05,62.2082
,61.8378
,61.2076
,60.8636
,60.5932
,60.4513
,60.0348
,60.0665
,59.9873
,60.0999
,60.1619
,60.3609
2023-12-04,60.3205
2023-11-04,60.0753
2023-10-04,59.9027
2023-06-04,59.8319
2023-05-04,59.6706
2023-03-04,59.1936
,59.0553
,58.1541
,57.6287
,57.7058
,57.7885
,58.2979
,58.5299
,58.3986
,57.9134
,58.3714
,58.0008
,57.9036
,58.1564
,58.4031
2023-10-03,59.342
2023-09-03,59.8804
2023-08-03,60.262
2023-06-03,59.9573
2023-03-03,59.6132
2023-02-03,58.8032
2023-01-03,59.1352
,58.6303
,58.8267
,59.1105
,59.3036
,59.2641
,60.1318
,60.1557
,60.3654
,60.6047
,60.5621
,60.3002
,59.9403
2023-10-02,60.2259
2023-09-02,60.2739
2023-08-02,60.1886
2023-07-02,59.7885
2023-06-02,59.9718
2023-03-02,60.0787
2023-02-02,59.4591
2023-01-02,59.4179
,59.33
,58.9542
,58.8704
,59.7049
,60.6472
,60.6805
,60.3714
,60.5459
,60.5831
,60.2145
,59.8648
,60.0927
2023-12-01,59.9049
2023-11-01,59.9785
2023-10-01,59.9286
2023-09-01,60.3555
2023-06-01,59.6299
2023-05-01,59.9027
2023-04-01,59.942
2023-03-01,60.6308
2023-02-01,60.5329
,60.2066
,60.3423
,60.2411
,60.1591
,59.7394
,58.7086
,59.9458
,60.3715
,61.1708
,61.3839
,60.9743
,61.5309
,62.2139
,61.9566
2022-12-12,61.7656
2022-09-12,61.5993
2022-08-12,61.965
2022-07-12,61.6493
2022-06-12,61.7369
2022-05-12,61.9412
2022-02-12,61.9567
2022-01-12,62.1939
,62.0074
,61.5472
,61.4737
,61.3614
,61.0913
,60.3964
,60.2946
,60.0089
,60.4063
,60.6965
,60.9049
,60.9913
,60.8177
2022-11-11,61.031
2022-10-11,60.1695
2022-09-11,60.6581
2022-07-11,60.7799
2022-04-11,60.3565
2022-03-11,60.3416
2022-02-11,60.4681
2022-01-11,60.4832
,60.0929
,59.3351
,59.4758
,59.1957
,58.7779
,58.9149
,58.8804
,58.7943
,58.0779
,57.6903
,57.3017
2022-12-10,57.76
2022-11-10,57.2407
2022-10-10,58.0159
2022-07-10,58.3747
2022-06-10,58.4078
2022-04-10,58.0773
2022-03-10,56.8006
,57.2955
,56.3687
,56.3003
,56.8673
,56.7917
,58.0424
,59.0847
,59.3053
,59.4954
,58.8468
,58.5408
,59.8214
,59.9678
,60.0168
2022-12-09,59.5275
2022-09-09,59.2261
2022-08-09,59.143
2022-07-09,58.716
2022-06-09,58.7072
2022-05-09,58.8258
2022-02-09,58.3472
