date,nav
,73.0108
,73.0833
,73.2124
,73.1574
,74.0023
,73.525
,73.3122
,72.939
,72.6922
,72.2693
2022-12-10,72.7405
2022-11-10,72.1344
2022-10-10,73.3259
2022-07-10,73.8803
2022-06-10,74.0728
2022-04-10,74.1916
2022-03-10,72.5115
,73.174
,72.1439
,72.5238
,72.7936
,72.7149
,74.1328
,75.5508
,75.5546
,76.1536
,75.4771
,74.951
,76.9184
,77.092
,77.3455
2022-12-09,76.9253
2022-09-09,76.641
2022-08-09,76.6277
2022-07-09,76.0521
2022-06-09,75.9521
2022-05-09,76.3428
2022-02-09,76.2954
2022-01-09,76.0456
,76.2211
,74.3321
,75.2754
,74.9546
,75.1045
,74.7255
,74.4093
,75.7918
,76.6729
,76.5286
,75.8512
2022-12-08,75.3228
2022-11-08,75.3237
2022-10-08,74.4544
2022-08-08,74.8976
2022-05-08,74.6044
2022-04-08,74.2272
2022-03-08,73.8828
2022-02-08,74.0304
2022-01-08,73.7095
,72.9947
,71.9063
,69.8525
,69.1326
,69.7673
,69.9601
,69.9609
,69.1252
,68.925
,68.6155
,67.5691
,67.0015
,67.1057
2022-12-07,66.9495
2022-11-07,67.7432
2022-08-07,67.7009
2022-07-07,67.537
2022-06-07,67.1482
2022-05-07,65.7151
2022-04-07,65.6105
2022-01-07,65.0877
,64.3604
,64.8133
,65.4275
,65.5288
,65.2431
,64.47
,63.7074
,64.4233
,63.378
,62.9852
,63.7459
,64.8568
,64.3993
,64.4339
2022-10-06,66.1339
2022-09-06,67.2604
2022-08-06,66.9337
2022-07-06,66.7412
2022-06-06,67.548
2022-03-06,68.0717
2022-02-06,68.8276
2022-01-06,68.8319
,69.1361
,68.533
,67.2291
,66.161
,65.4557
,66.3628
,66.6512
,66.8472
,65.8496
,67.772
,67.8271
,66.2938
,65.4373
2022-12-05,65.4083
2022-11-05,66.8623
2022-10-05,67.7491
2022-09-05,68.3816
2022-06-05,68.9738
2022-05-05,71.8904
2022-04-05,71.9729
2022-02-05,74.1048
,74.2535
,74.7458
,73.9744
,75.2145
,74.1743
,75.0345
,75.4805
,74.5345
,74.1182
,75.4011
,76.3584
2022-12-04,76.6442
2022-11-04,77.4023
2022-08-04,77.5007
2022-07-04,76.7796
2022-06-04,77.2841
2022-05-04,77.8618
2022-04-04,77.7401
2022-01-04,76.3631
,75.5061
,75.6682
,74.6649
,74.1641
,74.332
,74.6781
,75.0377
,75.2075
,74.8165
,75.7167
,74.358
,73.1899
,73.5318
2022-11-03,73.1308
2022-10-03,73.0061
2022-09-03,71.7508
2022-08-03,70.6214
2022-07-03,69.7358
2022-04-03,71.6986
2022-03-03,73.3142
2022-02-03,73.8204
,74.4883
,73.9328
,71.3778
,74.8289
,74.6777
,74.9357
,75.2152
,75.8591
,75.8994
,76.0554
,74.1305
2022-11-02,76.053
2022-10-02,77.5656
2022-09-02,77.128
2022-08-02,76.2751
2022-07-02,76.5225
2022-04-02,78.1271
2022-03-02,78.1087
2022-02-02,79.1057
2022-01-02,77.887
,76.8741
,75.6428
,75.3274
,76.7127
,76.6805
,79.7572
,81.238
,81.8537
,83.0109
,84.1011
,83.7325
,83.4606
2022-12-01,83.6159
2022-11-01,83.932
2022-10-01,83.7001
2022-07-01,83.8626
2022-06-01,83.5037
2022-05-01,83.8475
2022-04-01,83.287
2022-03-01,82.4289
,81.2402
,80.2221
,80.2977
,80.3139
,79.5375
,79.1895
,79.6287
,79.1261
,78.0346
,77.5931
,79.6694
,81.036
,81.0588
,81.5686
,81.7787
2021-10-12,82.4418
2021-09-12,82.4078
2021-08-12,82.3253
2021-07-12,81.2636
2021-06-12,80.1411
2021-03-12,81.7367
2021-02-12,82.3468
2021-01-12,81.2494
,80.8104
,80.6496
,80.5581
,82.6405
,82.3818
,82.4535
,81.8661
,84.4609
,85.3839
,85.7294
,85.4638
2021-12-11,85.3485
2021-11-11,84.2245
2021-10-11,84.6363
2021-09-11,84.4667
2021-08-11,84.5536
2021-03-11,83.3546
2021-02-11,83.3971
2021-01-11,83.4744
,82.6397
,83.2316
,84.0077
,83.7637
,82.4621
,83.9738
,84.6113
,84.8923
,86.1444
,86.906
,87.4659
,86.6202
2021-12-10,85.2721
2021-11-10,84.9535
2021-08-10,84.2722
2021-07-10,84.116
2021-06-10,83.3956
2021-05-10,83.9434
2021-04-10,83.6199
2021-01-10,82.3533
,82.8497
,82.9626
,83.2962
,84.3182
,84.766
,85.1846
,84.2283
,84.2897
,83.2059
,83.7154
,83.8102
,83.3885
,83.0189
,82.6854
2021-09-09,82.255
2021-08-09,82.0739
2021-07-09,81.7986
2021-06-09,81.9726
2021-03-09,82.0104
2021-02-09,81.864
2021-01-09,81.3088
,81.2869
,80.0445
,78.8144
,78.268
,77.9829
,77.6842
,76.715
,76.3521
,76.6204
,76.4159
,76.0397
,75.9653
2021-12-08,75.6608
2021-11-08,75.3045
2021-10-08,75.5859
2021-09-08,75.5804
2021-06-08,75.8131
2021-05-08,76.008
2021-04-08,76.021
2021-03-08,75.9397
2021-02-08,75.0437
,74.2211
,74.5288
,74.1284
,74.294
,74.4544
,74.5025
,74.5876
,73.8128
,73.9938
,74.3636
,74.2924
,74.218
,74.0438
2021-12-07,74.0474
2021-09-07,74.0795
2021-08-07,73.9363
2021-07-07,74.2331
2021-06-07,73.9922
2021-05-07,74.02
2021-02-07,73.4383
2021-01-07,73.1256
,72.8723
,72.726
,72.8531
,72.8784
,72.5226
,72.1387
,72.5265
,72.3846
,72.1931
,72.3683
,72.6385
,72.8587
,72.4523
2021-11-06,72.2529
2021-10-06,72.3612
2021-09-06,71.4079
2021-08-06,71.682
2021-07-06,71.6821
2021-04-06,71.582
2021-03-06,71.495
2021-02-06,70.9471
2021-01-06,70.3808
,70.2453
,69.8483
,70.0134
,69.8961
,69.3104
,69.0821
,69.0525
,68.1195
,68.4275
,68.7087
,67.3697
,66.5356
2021-12-05,66.9675
2021-11-05,67.5422
2021-10-05,68.1078
2021-07-05,67.558
2021-06-05,67.5074
2021-05-05,67.165
2021-04-05,66.6541
2021-03-05,67.0875
,66.9264
,68.0292
,67.9358
,66.5924
,65.8562
,65.4656
,65.4039
,65.0174
,65.0908
,66.3723
,65.7774
,65.5948
2021-12-04,65.222
2021-09-04,67.7033
2021-08-04,67.8958
2021-07-04,67.4155
2021-06-04,66.3985
2021-05-04,66.1132
2021-01-04,67.0371
,66.3499
,66.5679
,65.7904
,64.864
,66.1412
,67.2521
,66.8021
,66.7529
,66.2719
,67.2323
,68.0344
,67.9814
2021-12-03,68.3853
2021-10-03,68.9064
2021-09-03,68.541
2021-08-03,68.0512
2021-05-03,68.454
2021-04-03,68.9431
2021-03-03,69.1273
2021-02-03,67.814
2021-01-03,66.6336
,65.7906
,67.5493
,67.3751
,66.8644
,66.7885
,67.9212
,68.5185
,68.6967
,69.3418
,69.3997
2021-12-02,68.1007
2021-11-02,68.1178
2021-10-02,67.59
2021-09-02,66.9563
2021-08-02,67.1298
2021-05-02,66.3772
2021-04-02,66.216
2021-03-02,65.4614
2021-02-02,64.9817
2021-01-02,63.2909
,61.0128
,62.2646
,63.2001
,64.4204
,65.0458
,65.3636
,65.6415
,65.1644
,63.9697
,65.1807
,66.0755
,66.0534
2021-12-01,66.9093
2021-11-01,67.1855
2021-08-01,66.77
2021-07-01,65.7504
2021-06-01,65.8741
2021-05-01,66.3871
2021-04-01,65.5681
2021-01-01,64.982
,64.6805
,64.5447
,64.0114
,63.9489
,63.4684
,63.0442
,62.375
,61.9754
,63.654
,63.309
,62.9874
,62.6215
,62.2695
2020-11-12,61.9606
2020-10-12,61.9425
2020-09-12,61.8566
2020-08-12,61.3644
2020-07-12,61.1734
2020-04-12,61.0214
2020-03-12,60.7394
2020-02-12,60.3507
2020-01-12,60.5083
,60.2353
,59.7982
,59.1082
,60.1029
,59.8224
,59.1344
,58.0742
,58.5899
,58.2212
,57.2281
2020-12-11,56.9553
2020-11-11,56.9431
2020-10-11,56.2903
2020-09-11,55.9657
2020-06-11,55.3169
2020-05-11,54.9099
2020-04-11,54.0352
2020-03-11,53.4532
2020-02-11,52.8932
,52.6432
,52.8208
,52.7335
,53.3319
,52.0546
,52.3818
,51.8735
,51.8558
,51.9759
,51.7939
,51.5
,51.0383
,52.1671
,51.7895
2020-12-10,52.0031
2020-09-10,52.0684
2020-08-10,52.0817
